2587,,,, ,,,Biomaterial Production,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,ChildID,N,Sex,Subpopulation,Superpopulation,Production Year,Pellets Status: Production,QC: Karyotyping ,QC: OMNI Microarray,Pellets Status: UL Nanopore Production,HiFi Center Information ,HiFi sample received,HiFi data generation,HiFi data  submitted to AnVIL,10X Genomics Center Information ,10X Genomics sample received,10X Genomics data generation,10X Genomics data submitted to AnVIL,BioNano Genomics Center Information,BioNano Genomics sample received,BioNano Genomics data generation,BioNano Genomics data submitted to AnVIL,Nanopore Standard Center Information,Nanopore Standard sample received,Nanopore Standard Unsheared data generation,Nanopore Standard Unsheared data submitted to AnVIL,Nanopore UL Center Information,Nanopore UL sample received,Nanopore UL data generation,Nanopore UL data submitted to AnVIL,Hi-C Center Information,Hi-C sample received,Hi-C data generation,Hi-C data submitted to AnVIL,Strand-seq Center Information,Strand-seq sample received,Strand-seq data generation,Strand-seq data  submitted to AnVIL,Kinnex Center Information,Kinnex sample received,Kinnex data generation,Kinnex data  submitted to AnVIL
169,HG03458,NaN,female,MSL,AFR,YR3,Pellets Banked (3/30/22),Completed (5/10/22),Completed (6/6/22),Pellets Banked (3/30/22),RU,5/12/22,"Topped off, Complete -- 60X",,,,,,,,,,,,,,UCSC,5/12/22,Complete,Needs Base Calling,UCSC,5/12/22,Sent to Illumina 081722,,,,,,WashU,,,
170,NA18971,NaN,male,JPT,EAS,YR3,Pellets Banked (4/12/22),Completed (5/10/22),Completed (6/6/22),Pellets Banked (4/12/22),WashU,6/2/22,"Complete, 67.9X",,,,,,,,,,,,,,UCSC,6/2/22,Complete,Needs Base Calling,UCSC,06/02/22,Sent to Illumina 081722,,,,,,WashU,,,
171,HG02155,NaN,female,CDX,EAS,YR3,Pellets Banked (4/12/22),Completed (5/31/22),Completed (6/6/22),Pellets Banked (4/12/22),WashU,6/2/22,"Complete, 68.4X",,,,,,,,,,,,,,UCSC,6/2/22,Complete,Needs Base Calling,UCSC,06/02/22,Sent to Illumina 081722,,,,,,WashU,,,
172,NA18612,NaN,male,CHB,EAS,YR3,Pellets Banked (4/12/22),Completed (5/31/22),Completed (6/6/22),Pellets Banked (4/12/22),WashU,6/2/22,Complete -- 60.3X,,,,,,,,,,,,,,UCSC,6/2/22,Complete,Needs Base Calling,UCSC,06/02/22,Sent to Illumina 081722,,,,,,WashU,,,
173,HG00140,NaN,male,GBR,EUR,YR3,Pellets Banked (4/26/22),Completed (5/31/22),Completed (6/6/22),Pellets Banked (4/26/22),WashU,6/2/22,"Complete, 60.6X",,,,,,,,,,,,,,UCSC,6/2/22,Complete,Needs Base Calling,UCSC,06/02/22,Sent to Illumina 081722,,,,,,WashU,,,
174,HG00323,NaN,female,FIN,EUR,YR3,Pellets Banked (4/19/22),Completed (5/31/22),Completed (6/6/22),Pellets Banked (4/19/22),WashU,6/2/22,"Complete, 60.2X",,,,,,,,,,,,,,UCSC,6/2/22,Complete,Needs Base Calling,UCSC,06/02/22,Sent to Illumina 081722,,,,,,WashU,,,
175,HG02922,NG06,female,ESN,AFR,YR3,Pellets Banked (4/26/22),Completed (5/31/22),Completed (6/30/22),Pellets Banked (4/26/22),UW,6/16/22,"Topped off, Complete -- 64X",,,,,,,,,,,,,,UCSC,6/16/22,Complete,Needs Base Calling,UCSC,6/16/22,Sent to Illumina 090922,,,,,,WashU,,,
176,HG02165,NaN,female,CDX,EAS,YR3,Pellets Banked (4/26/22),Completed (5/31/22),Completed (6/30/22),Pellets Banked (4/26/22),UW,6/16/22,"Topped off, Complete -- 65.4X",,,,,,,,,,,,,,UCSC,6/16/22,Complete,Needs Base Calling,UCSC,6/16/22,Sent to Illumina 081722,,,,,,WashU,,,
177,NA18983,NaN,male,JPT,EAS,YR3,Pellets Banked (4/26/22),Completed (5/31/22),Completed (6/30/22),Pellets Banked (4/26/22),UW,6/16/22,"Topped off, Complete -- 66.3X",,,,,,,,,,,,,,UCSC,6/16/22,Complete,Needs Base Calling,UCSC,6/16/22,Sent to Illumina 081722,,,,,,WashU,,,
178,HG02040,NaN,male,KHV,EAS,YR3,Pellets Banked (4/27/22),Completed (6/8/22),Completed (6/30/22),Pellets Banked (4/27/22),UW,6/16/22,"Topped off, Complete -- 64.5X",,,,,,,,,,,,,,UCSC,6/16/22,Complete,Needs Base Calling,UCSC,6/16/22,Sent to Illumina 081722,,,,,,WashU,,,
179,NA18747,NaN,male,CHB,EAS,YR3,Pellets Banked (4/26/22),Completed (5/31/22),Completed (6/30/22),Pellets Banked (4/26/22),UW,6/16/22,"Topped off, Complete -- 61.6X",,,,,,,,,,,,,,UCSC,6/16/22,Complete,Needs Base Calling,UCSC,6/16/22,Sent to Illumina 081722,,,,,,WashU,,,
180,NA19159,Y056,female,YRI,AFR,YR3,Pellets Banked (5/10/22),Completed (6/19/22),Completed (6/30/22),Pellets Banked (5/10/22),RU,6/30/22,"Topped off, Est. Complete = 60X",,,,,,,,,,,,,,UCSC,6/30/22,Complete,Needs Base Calling,UCSC,6/30/22,Sent to Illumina 081722,,,,,,WashU,,,
181,NA19185,Y039,female,YRI,AFR,YR3,Pellets Banked (5/10/22),Completed (6/17/22),Completed (6/30/22),Pellets Banked (5/10/22),RU,6/30/22,"Topped off, Complete -- 61X",,,,,,,,,,,,,,UCSC,6/30/22,Complete,Needs Base Calling,UCSC,6/30/22,Sent to Illumina 090922,,,,,,WashU,,,
182,HG02391,NaN,male,CDX,EAS,YR3,Pellets Banked (5/10/22),Completed (6/19/22),Completed (6/30/22),Pellets Banked (5/10/22),RU,6/30/22,"Topped off, Complete -- 60X",,,,,,,,,,,,,,UCSC,6/30/22,Complete,Needs Base Calling,UCSC,6/30/22,Sent to Illumina 081722,,,,,,WashU,,,
183,NA18570,NaN,female,CHB,EAS,YR3,Pellets Banked (5/10/22),Completed (6/17/22),Completed (6/30/22),Pellets Banked (5/10/22),RU,6/30/22,"Topped off, Complete -- 65X",,,,,,,,,,,,,,UCSC,6/30/22,Complete,Needs Base Calling,UCSC,6/30/22,Sent to Illumina 081722,,,,,,WashU,,,
184,NA19087,NaN,female,JPT,EAS,YR3,Pellets Banked (5/10/22),Completed (6/19/22),Completed (6/30/22),Pellets Banked (5/10/22),RU,6/30/22,"Topped off, Complete -- 66X",,,,,,,,,,,,,,UCSC,6/30/22,Complete,Needs Base Calling,UCSC,6/30/22,Sent to Illumina 081722,,,,,,WashU,,,
185,NA20805,NaN,male,TSI,EUR,YR3,Pellets Banked (5/24/22),Completed (7/3/22),Completed (8/3/22),Pellets Banked (5/24/22),WashU,7/7/22,Complete -- 58.2X,,,,,,,,,,,,,,UCSC,7/6/22,Complete,Needs Base Calling,UCSC,07/07/22,Sent to Illumina 090922,,,,,,WashU,,,
186,HG03792,NaN,male,ITU,SAS,YR4,Pellets Banked (5/24/22),Completed (6/29/22),Completed (8/3/22),Pellets Banked (5/24/22),WashU,7/7/22,Complete -- 64.9X,,,,,,,,,,,,,,UCSC,7/6/22,Complete,Needs Base Calling,UCSC,07/07/22,Sent to Illumina 090922,,,,,,WashU,,,
187,NA20858,NaN,male,GIH,SAS,YR4,Pellets Banked (5/24/22),Completed (7/3/22),Completed (8/3/22),Pellets Banked (5/24/22),WashU,7/7/22,Complete -- 60.8X,,,,,,,,,,,,,,UCSC,7/6/22,Complete,Needs Base Calling,UCSC,07/07/22,Sent to Illumina 090922,,,,,,WashU --> RU,,,
188,HG04222,NaN,male,ITU,SAS,Fail Karyo,Pellets Banked (5/24/22),Completed (6/30/22),Completed (8/3/22),Pellets Banked (5/24/22),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,HG00099,NaN,female,GBR,EUR,YR3,Pellets Banked (5/24/22),Completed (6/19/22),Completed (8/3/22),Pellets Banked (5/24/22),UW,7/14/22,"Topped off, Complete -- 73.6X",,,,,,,,,,,,,,UCSC,7/14/22,Complete,Needs Base Calling,UCSC,07/07/22,Sent to Illumina 090922,,,,,,WashU,,,
190,HG00280,NaN,male,FIN,EUR,YR3,Pellets Banked (6/8/22),Completed (7/10/22),Completed (8/3/22),Pellets Banked (6/8/22),UW,7/14/22,"Topped off, Complete -- 66.8X",,,,,,,,,,,,,,UCSC,7/14/22,Complete,Needs Base Calling,UCSC,7/14/22,Sent to Illumina 090922,,,,,,WashU,,,
191,NA20752,NaN,male,TSI,EUR,YR3,Pellets Banked (6/8/22),Completed (7/3/22),Completed (8/3/22),Pellets Banked (6/8/22),UW,7/14/22,"Topped off, Complete -- 73.7X",,,,,,,,,,,,,,UCSC,7/14/22,Complete,Needs Base Calling,UCSC,7/14/22,Sent to Illumina 090922,,,,,,WashU,,,
192,NA20905,NaN,male,GIH,SAS,YR3,Pellets Banked (6/21/22),Completed (7/10/22),Completed (8/3/22),Pellets Banked (6/21/22),UW,7/14/22,"Topped off, Complete -- 61.2X",,,,,,,,,,,,,,UCSC,7/14/22,Complete,Needs Base Calling,UCSC,7/14/22,Sent to Illumina 090922,,,,,,WashU,,,
193,HG01530,NaN,male,IBS,EUR,YR3,Pellets Banked (6/8/22),Completed (7/10/22),Completed (8/3/22),Pellets Banked (6/8/22),RU,7/22/22,"Topped off, Complete -- 61X",,,,,,,,,,,,,,UCSC,7/21/22,Complete,Needs Base Calling,UCSC,7/14/22,Sent to Illumina 090922,,,,,,WashU,,,
194,HG01784,NaN,female,IBS,EUR,YR3,Pellets Banked (6/8/22),Completed (7/10/22),Completed (8/3/22),Pellets Banked (6/8/22),RU,7/22/22,"Topped off, Complete -- 65X",,,,,,,,,,,,,,UCSC,7/21/22,Complete,Needs Base Calling,UCSC,7/14/22,Sent to Illumina 090922,,,,,,WashU,,,
195,NA20799,NaN,female,TSI,EUR,YR3,Pellets Banked (6/21/22),Completed (7/17/22),Completed (8/3/22),Pellets Banked (6/21/22),RU,7/22/22,"Topped off, Complete -- 60X",,,,,,,,,,,,,,UCSC,7/21/22,Complete,Needs Base Calling,UCSC,7/22/22,Sent to Illumina 090922,,,,,,WashU,,,
196,HG03742,NaN,male,ITU,SAS,YR3,Pellets Banked (6/21/22),Completed (7/17/22),Completed (8/3/22),Pellets Banked (6/21/22),RU,7/22/22,"Topped off, Complete -- 63X",,,,,,,,,,,,,,UCSC,7/21/22,Complete,Needs Base Calling,UCSC,7/22/22,Sent to Illumina 090922,,,,,,WashU,,,
197,NA19043 (replacement GM19454),NaN,male,LWK,AFR,YR3,Pellets Banked (6/21/22),Completed (7/17/22),Completed (8/3/22),Pellets Banked (6/21/22),UW,7/21/22,"Topped off, Complete -- 60.5X",,,,,,,,,,,,,,UCSC,7/21/22,Complete,Needs Base Calling,UCSC,7/22/22,Sent to Illumina 090922,,,,,,WashU,,,
198,NA19120 (replacement NA18934),Y060,male,YRI,AFR,YR4,Pellets Banked (6/21/22),Completed (7/18/22),Completed (8/3/22),Pellets Banked (6/21/22),WashU,7/28/22,Complete -- 70.5X,,,,,,,,,,,,,,UCSC,7/28/22,Complete,Needs Base Calling,UCSC,7/22/22,Sent to Illumina 090922,,,,,,WashU --> RU,RNA pass QC,,
199,NA19909,NaN,female,ASW,AFR,YR4,Pellets Banked (10/4/22),Completed (10/28/22),Completed (11/7/22),Pellets Banked (10/4/22),WashU,11/16/22,Complete -- 63.9X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
200,NA20282,NaN,female,ASW,AFR,YR4,Pellets Banked (10/4/22),Completed (10/28/22),Completed (11/7/22),Pellets Banked (10/4/22),WashU,11/16/22,Complete -- 69.8X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
201,NA20346,NaN,male,ASW,AFR,YR4,Pellets Banked (10/4/22),Completed (11/6/22),Completed (11/7/22),Pellets Banked (10/4/22),WashU,11/16/22,Complete -- 60.1X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
202,NA20348,NaN,male,ASW,AFR,Fail Karyo,Pellets Banked (10/4/22),Completed (11/6/22),Completed (11/7/22),Pellets Banked (10/4/22),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,NA19776,NaN,female,MXL,AMR,YR4,Pellets Banked (10/4/22),Completed (10/28/22),Completed (11/7/22),Pellets Banked (10/4/22),UW,11/16/22,Complete -- 62.5X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
204,NA19682,NaN,male,MXL,AMR,YR4,Pellets Banked (9/27/22),Completed (10/18/22),Completed (11/7/22),Pellets Banked (9/27/22),UW,11/16/22,Complete -- 62.6X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
205,NA19700,NaN,male,ASW,AFR,YR4,Pellets Banked (9/27/22),Completed (10/18/22),Completed (11/7/22),Pellets Banked (9/27/22),UW,11/16/22,Complete -- 60.6X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Sent to Illumina 1/31/24,,,,,,WashU,,,
206,NA19390,NaN,female,LWK,AFR,YR4,Pellets Banked (9/27/22),Completed (10/18/22),Completed (11/7/22),Pellets Banked (9/27/22),UW,11/16/22,Complete -- 63.5X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,,,,,,,WashU --> RU,RNA pass QC,,
207,NA19175,Y044,male,YRI,AFR,YR4,Pellets Banked (9/27/22),Completed (10/18/22),Completed (11/7/22),Pellets Banked (9/27/22),RU,11/31/22,Complete -- 66X,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,,,,,,,WashU --> RU,RNA pass QC,,
208,HG02392,NaN,male,CDX,EAS,YR4,Pellets Banked (9/27/22),Completed (10/28/22),Completed (11/7/22),Pellets Banked (9/27/22),RU,5/4/23,Complete -- 62X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
209,HG00867,NaN,female,CDX,EAS,YR4,Pellets Banked (10/11/22),Completed (11/6/22),Completed (12/12/22),Pellets Banked (10/11/22),RU,5/4/23,Complete -- 62x,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
210,HG02178,NaN,female,CDX,EAS,YR4,Pellets Banked (10/11/22),Completed (11/6/22),Completed (12/12/22),Pellets Banked (10/11/22),RU,5/4/23,Complete -- 63x,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
211,NA18620,NaN,male,CHB,EAS,YR4,Pellets Banked (10/11/22),Completed (11/6/22),Completed (12/12/22),Pellets Banked (10/11/22),RU,5/4/23,Complete -- 68x,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
212,NA18608,NaN,male,CHB,EAS,YR4,Pellets Banked (10/11/22),Completed (11/6/22),Completed (12/12/22),Pellets Banked (10/11/22),WashU,5/4/23,Complete -- 61.6X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
213,NA18974,NaN,male,JPT,EAS,YR4,Pellets Banked (10/11/22),Completed (11/6/22),Completed (12/12/22),Pellets Banked (10/11/22),WashU,5/4/23,Complete -- 81.5X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
214,NA18952,NaN,male,JPT,EAS,YR4,Pellets Banked (10/25/22),Completed (11/20/22),Completed (12/12/22),Pellets Banked (10/25/22),WashU,5/4/23,Complete -- 76.3X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
215,NA18976,NaN,female,JPT,EAS,YR4,Pellets Banked (10/25/22),Completed (11/20/22),Completed (12/12/22),Pellets Banked (10/25/22),WashU,5/4/23,Complete -- 73.4X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
216,NA20870,NaN,male,GIH,SAS,YR4,Pellets Banked (10/25/22),Completed (11/20/22),Completed (12/12/22),Pellets Banked (10/25/22),RU,11/31/22,Complete -- 70x,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
217,NA21110,NaN,female,GIH,SAS,YR4,Pellets Banked (10/25/22),Completed (11/20/22),Completed (12/12/22),Pellets Banked (10/25/22),RU,11/31/22,Complete -- 62x,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
218,HG03874,NaN,female,ITU,SAS,YR4,Pellets Banked (10/25/22),Completed (11/20/22),Completed (12/12/22),Pellets Banked (10/25/22),RU,11/31/22,Complete -- 61x,,,,,,,,,,,,,,UCSC,12/8/22,,,UCSC,12/8/22,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
219,NA18881,NaN,female,YRI,AFR,Fail Karyo,Pellets Banked (01/24/23),Completed (02/13/2023),Completed (03/24/2023),Pellets Banked (01/24/23),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,NA18508,NaN,female,YRI,AFR,YR4,Pellets Banked (02/07/23),Completed (02/20/2023),Completed (03/24/2023),Pellets Banked (02/07/23),UW,3/9/23,Complete -- 61.4X,,,,,,,,,,,,,,UCSC,3/9/23,,,UCSC,3/9/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
221,NA21093,NaN,male,GIH,SAS,YR4,Pellets Banked (02/07/23),Completed (02/20/2023),Completed (03/24/2023),Pellets Banked (02/07/23),UW,3/9/23,Complete -- 62.6X,,,,,,,,,,,,,,UCSC,3/9/23,,,UCSC,3/9/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
222,HG03611,NaN,female,BEB,SAS,YR4,Pellets Banked (02/07/23),Completed (02/28/2023),Completed (03/24/2023),Pellets Banked (02/07/23),UW,3/9/23,Complete -- 62.1X,,,,,,,,,,,,,,UCSC,3/9/23,,,UCSC,3/9/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
223,NA21106,NaN,female,GIH,SAS,YR4,Pellets Banked (02/07/23),Completed (02/28/2023),Completed (03/24/2023),Pellets Banked (02/07/23),UW,3/9/23,Complete -- 63X,,,,,,,,,,,,,,UCSC,3/9/23,,,UCSC,3/9/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
224,NA19374,NaN,male,LWK,AFR,Fail Karyo,Pellets Banked (02/07/23),Completed (02/20/2023),Completed (03/24/2023),Pellets Banked (02/07/23),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,NA20503,NaN,female,TSI,EUR,YR4,Pellets Banked (02/21/23),Completed (03/08/2023),Completed (03/24/2023),Pellets Banked (02/21/23),RU,#Please hold for shipment to Italian collaborators,,,,,,,,,,,,,,,UCSC,4/13/23,,,UCSC,4/12/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
226,HG03270,NaN,female,ESN,AFR,YR4,Pellets Banked (02/21/23),Completed (03/11/2023),Completed (03/24/2023),Pellets Banked (02/21/23),RU,4/13/23,Complete -- 64x,,,,,,,,,,,,,,UCSC,4/13/23,,,UCSC,4/12/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
227,HG00320,NaN,female,FIN,EUR,YR4,Pellets Banked (04/04/2023),Completed (05/01/2023),Completed (05/23/2023),Pellets Banked (04/04/2023),WashU,5/4/23,Complete -- 68.2X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
228,HG01786,NaN,female,IBS,EUR,YR4,Pellets Banked (04/04/2023),Completed (05/01/2023),Completed (05/23/2023),Pellets Banked (04/04/2023),WashU,5/4/23,Complete -- 73.5X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
229,HG00146,NaN,female,GBR,EUR,YR4,Pellets Banked (04/04/2023),Completed (04/17/2023),Completed (05/23/2023),Pellets Banked (04/04/2023),WashU,5/4/23,Complete -- 72.7X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
230,HG00232,NaN,female,GBR,EUR,YR4,Pellets Banked (04/04/2023),Completed (04/17/2023),Completed (05/23/2023),Pellets Banked (04/04/2023),WashU,5/4/23,Complete -- 62.2X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
231,HG00321,NaN,male,FIN,EUR,YR4,Pellets Banked (04/04/2023),Completed (05/01/2023),Completed (05/23/2023),Pellets Banked (04/04/2023),WashU,5/4/23,Complete -- 61.1X,,,,,,,,,,,,,,,,,,UCSC,5/4/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
232,HG00126,NaN,male,GBR,EUR,YR4,Pellets Banked (04/18/2023),Completed (05/08/2023),Completed (05/23/2023),Pellets Banked (04/18/2023),UW,5/18/23,Complete -- 63.7X,,,,,,,,,,,,,,,,,,UCSC,5/18/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
233,HG00133,NaN,female,GBR,EUR,YR4,Pellets Banked (04/18/2023),Completed (05/15/2023),Completed (05/23/2023),Pellets Banked (04/18/2023),UW,5/18/23,Complete -- 66X,,,,,,,,,,,,,,,,,,UCSC,5/18/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
234,HG00290,NaN,male,FIN,EUR,YR4,Pellets Banked (04/18/2023),Completed (05/15/2023),Completed (05/23/2023),Pellets Banked (04/18/2023),UW,5/18/23,Complete -- 63.2X,,,,,,,,,,,,,,,,,,UCSC,5/18/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
235,NA19443,NaN,male,LWK,AFR,YR4,Pellets Banked (04/18/2023),Completed (05/09/2023),Completed (05/23/2023),Pellets Banked (04/18/2023),UW,5/18/23,Complete -- 62.8X,,,,,,,,,,,,,,,,,,UCSC,5/18/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
236,HG00128,NaN,female,GBR,EUR,YR4,Pellets Banked (04/18/2023),Completed (05/08/2023),Completed (05/23/2023),Pellets Banked (04/18/2023),UW,5/18/23,Complete -- 66.3X,,,,,,,,,,,,,,,,,,UCSC,5/18/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
237,NA19036,NaN,female,LWK,AFR,YR4,Pellets Banked (05/02/2023),Completed (05/25/2023),Completed (06/20/2023),Pellets Banked (05/02/2023),RU,6/8/23,Complete -- 64x,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
238,NA18505,Y005,female,YRI,AFR,YR4,Pellets Banked (05/02/2023),Completed (05/31/2023),Completed (06/20/2023),Pellets Banked (05/02/2023),RU,6/8/23,Complete -- 61x,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
239,HG00243,NaN,male,GBR,EUR,YR4,Pellets Banked (05/02/2023),Completed (05/25/2023),Completed (06/20/2023),Pellets Banked (05/02/2023),RU,6/8/23,Complete -- 60x,,,,,,,,,,,,,,,,,,UCSC,6/8/23,,,,,,,WashU,,,
240,HG03583,SL73,female,MSL,AFR,YR4,Pellets Banked (05/02/2023),Completed (05/25/2023),Completed (06/20/2023),Pellets Banked (05/02/2023),RU,6/8/23,Complete -- 59x,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Complete (Sent to Illumina 1/31/24),,,,,,WashU,,,
241,HG00329,NaN,male,FIN,EUR,YR4,Pellets Banked (05/15/2023),Completed (05/31/2023),Completed (06/20/2023),Pellets Banked (05/15/2023),RU,6/8/23,Complete -- 62x,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Sent to Illumina 7/24/24,,,,,,WashU,,,
242,HG03784,NaN,female,ITU,SAS,YR4,Pellets Banked (05/15/2023),Completed (06/25/2023),Completed (06/20/2023),Pellets Banked (05/15/2023),WashU,6/8/23,Complete -- 62.5X,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
243,NA20806,NaN,male,TSI,EUR,YR4,Pellets Banked (05/15/2023),Completed (06/18/2023),Completed (06/20/2023),Pellets Banked (05/15/2023),Human Technopole,,,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
244,NA21144,NaN,female,GIH,SAS,YR4,Pellets Banked (05/15/2023),Completed (06/18/2023),Completed (06/20/2023),Pellets Banked (05/15/2023),WashU,6/8/23,Complete -- 77.4X,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
245,NA20827,NaN,male,TSI,EUR,YR4,Pellets Banked (05/15/2023),Completed (06/18/2023),Completed (06/20/2023),Pellets Banked (05/15/2023),Human Technopole,,,,,,,,,,,,,,,,,,,,UCSC,6/8/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
246,HG01248,PR32,female,PUR,AMR,Fail Karyo,Pellets Banked (05/15/2023),Completed (06/24/2023),Completed (06/20/2023),Pellets Banked (05/15/2023),WashU,6/8/23,Complete -- 62X,,,,,,,,,,,,,,,,,,UCSC,6/8/23,,,,,,,,,,
247,HG03521,NG109,male,ESN,AFR,YR4,Pellets Banked (05/23/2023),Completed (07/16/2023),Completed (08/14/2023),Pellets Banked (05/23/2023),UW,6/22/23,Complete -- 67.3X,,,,,,,,,,,,,,,,,,UCSC,6/15/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
248,NA20762,NaN,male,TSI,EUR,YR4,Pellets Banked (05/23/2023),Completed (07/01/2023),Completed (08/14/2023),Pellets Banked (05/23/2023),Human Technopole,,,,,,,,,,,,,,,,,,,,UCSC,6/15/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
249,HG00344,NaN,female,FIN,EUR,YR4,Pellets Banked (05/23/2023),Completed (07/01/2023),Completed (08/14/2023),Pellets Banked (05/23/2023),UW,6/22/23,Complete -- 65.3X,,,,,,,,,,,,,,,,,,UCSC,6/15/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
250,HG00350,NaN,female,FIN,EUR,YR4,Pellets Banked (05/23/2023),Completed (07/01/2023),Completed (08/14/2023),Pellets Banked (05/23/2023),UW,6/22/23,Complete -- 65.7X,,,,,,,,,,,,,,,,,,UCSC,6/15/23,Sent to Illumina 7/24/24,,,,,,WashU --> RU,RNA pass QC,,
251,NA20357,2494,female,ASW,AFR,YR4,Pellets Banked (02/07/2023),Completed (02/16/2023),Completed (03/24/2023),Pellets Banked (02/07/23),HOLD PENDING INCLUSION IN Y4 PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,WashU --> RU,RNA pass QC,,
252,HG03572,NaN,female,MSL,AFR,YR4,Pellets Banked (01/24/2023),Completed (02/13/2023),Completed (03/24/2023),Pellets Banked (01/24/23),HOLD PENDING INCLUSION IN Y4 PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,WashU --> RU,RNA pass QC,,
